Linux 4.13.0-39-generic (jonte-virtual-machine) 	2018-11-26 	_x86_64_	(4 CPU)

20:24:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:07        all     57,77      0,00     30,67      0,78      0,00     10,78

20:24:02          tps      rtps      wtps   bread/s   bwrtn/s
20:24:07        43,00      1,40     41,60     11,20   1108,80

20:24:02    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:07       252748   7335400     96,67    170336   1173212  12967680     84,14   3935540   1426276      1472

20:24:02          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:07       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07       dev8-0     43,00     11,20   1108,80     26,05      0,16      3,72      1,80      7,76
20:24:07      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07     dev253-0    120,60      1,60   1108,80      9,21      0,31      2,58      0,60      7,28
20:24:07     dev253-1      1,20      9,60      0,00      8,00      0,01      5,33      5,33      0,64

20:24:02        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:07        ens33     53,60     27,20     51,82     25,68      0,00      0,00      0,00      0,04
20:24:07    veth0119560    257,60    263,20     76,02     45,31      0,00      0,00      0,00      0,01
20:24:07    veth141eb73    484,60    473,20    138,05    136,75      0,00      0,00      0,00      0,01
20:24:07    vethdfc607f    486,80    477,20    138,27    136,56      0,00      0,00      0,00      0,01
20:24:07      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:07    veth3ab407b    263,40    258,60     76,00     44,99      0,00      0,00      0,00      0,01
20:24:07           lo    115,80    115,80    147,47    147,47      0,00      0,00      0,00      0,00
20:24:07    vethb1eb094    193,40    197,00     37,73     42,97      0,00      0,00      0,00      0,00
20:24:07    veth957bc21    190,20    202,40     37,47     43,41      0,00      0,00      0,00      0,00
20:24:07    veth7f20925     41,20     37,60     50,56     32,40      0,00      0,00      0,00      0,00
20:24:07    br-bd61e146aaf4     79,80     71,80    116,56     45,94      0,00      0,00      0,00      0,00

20:24:07        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:12        all     51,55      0,00     32,46      1,10      0,00     14,89

20:24:07          tps      rtps      wtps   bread/s   bwrtn/s
20:24:12        57,60      4,00     53,60     89,60   1558,40

20:24:07    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:12       223480   7364668     97,05    170772   1174824  13022456     84,50   3962076   1427192      2360

20:24:07          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:12       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12       dev8-0     57,60     89,60   1558,40     28,61      0,21      3,68      1,79     10,32
20:24:12      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12     dev253-0    161,60     75,20   1561,60     10,13      0,47      2,81      0,61      9,92
20:24:12     dev253-1      1,80     14,40      0,00      8,00      0,01      5,78      3,11      0,56

20:24:07        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:12        ens33     91,40     57,40     78,62     63,45      0,00      0,00      0,00      0,06
20:24:12    veth0119560    386,20    385,60    115,91     67,33      0,00      0,00      0,00      0,01
20:24:12    veth141eb73    700,80    695,20    199,84    227,06      0,00      0,00      0,00      0,02
20:24:12    vethdfc607f    721,20    694,80    201,41    226,21      0,00      0,00      0,00      0,02
20:24:12      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:12    veth3ab407b    382,00    402,80    114,95     68,39      0,00      0,00      0,00      0,01
20:24:12           lo    155,60    155,60    201,07    201,07      0,00      0,00      0,00      0,00
20:24:12    vethb1eb094    273,00    275,40     52,14     64,08      0,00      0,00      0,00      0,01
20:24:12    veth957bc21    274,20    278,40     52,09     63,77      0,00      0,00      0,00      0,01
20:24:12    veth7f20925     66,80     67,60    147,54     39,17      0,00      0,00      0,00      0,01
20:24:12    br-bd61e146aaf4    106,80    102,40    185,80     59,39      0,00      0,00      0,00      0,00

20:24:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:17        all     48,68      0,00     32,89      1,69      0,00     16,74

20:24:12          tps      rtps      wtps   bread/s   bwrtn/s
20:24:17        60,68      1,80     58,88     38,32   1655,89

